question,q_clean,ground_truth
Adjust the OSPFv3 reference bandwidth to 100 Gbps for high-speed interfaces.,adjust the ospfv3 reference bandwidth to 100 gbps for high-speed interfaces.,"enable
configure terminal
ipv6 router ospf 100
auto-cost reference-bandwidth 100000
end"
Apply a route-map that sets the default next-hop to 10.20.30.1 for traffic originating from the Guest subnet 10.0.0.0/24.,apply a route-map that sets the default next-hop to 10.20.30.1 for traffic originating from the guest subnet 10.0.0.0/24.,"enable
configure terminal
access-list 5 permit 10.0.0.0 0.0.0.255
route-map GUEST_TRAFFIC permit 10
match ip address 5
set ip default next-hop 10.20.30.1
exit
interface GigabitEthernet0/3
ip policy route-map GUEST_TRAFFIC
end"
Apply the NAC-RESTRICT access list and activate DHCP snooping and dynamic ARP inspection for the defined management and user VLANs.,apply the nac-restrict access list and activate dhcp snooping and dynamic arp inspection for the defined management and user vlans.,"ip access-list extended NAC-RESTRICT
permit ip 10.1.0.0 0.0.0.255 10.2.0.0 0.0.0.255 eq 80
deny ip any any log
ip dhcp snooping vlan 10,20,30,99
ip dhcp snooping
ip arp inspection vlan 10,20,30,99"
Change the lease time for all current and future clients in the 'General_Users' DHCP pool to infinite.,change the lease time for all current and future clients in the 'general_users' dhcp pool to infinite.,"enable
configure terminal
ip dhcp pool General_Users
lease infinite
exit
end"
Configure a default information originate command to redistribute a default route into OSPFv3.,configure a default information originate command to redistribute a default route into ospfv3.,"enable
configure terminal
ipv6 router ospf 1
default-information originate
end"
"Configure a DHCP server pool for VoIP phones on VLAN 20 using subnet 172.16.20.0/24, providing a DNS server at 8.8.8.8 and a TFTP server option.","configure a dhcp server pool for voip phones on vlan 20 using subnet 172.16.20.0/24, providing a dns server at 8.8.8.8 and a tftp server option.","enable
configure terminal
ip dhcp pool VOICE_VLAN
network 172.16.20.0 255.255.255.0
default-router 172.16.20.1
dns-server 8.8.8.8
option 150 ip 172.16.20.5
exit
end"
Configure an access control list to define traffic between local subnet 10.1.1.0/24 and remote 10.2.2.0/24.,configure an access control list to define traffic between local subnet 10.1.1.0/24 and remote 10.2.2.0/24.,"enable
configure terminal
ip access-list extended ACL-VPN-TRAFFIC
 permit ip 10.1.1.0 0.0.0.255 10.2.2.0 0.0.0.255
exit
end"
Configure OSPFv3 on the router globally using a specific router ID of 1.1.1.1.,configure ospfv3 on the router globally using a specific router id of 1.1.1.1.,"enable
configure terminal
ipv6 router ospf 1
router-id 1.1.1.1
end"
Configure OSPFv3 summary prefix for area 1.,configure ospfv3 summary prefix for area 1.,"enable
configure terminal
ipv6 router ospf 1
area 1 range 2001:db8:cafe::/48
end"
Configure PBR to force all traffic matching ACL 10 to exit via interface Tunnel0.,configure pbr to force all traffic matching acl 10 to exit via interface tunnel0.,"enable
configure terminal
access-list 10 permit 192.168.200.0 0.0.0.255
route-map VPN_TUNNEL permit 10
match ip address 10
set interface Tunnel0
exit
interface GigabitEthernet0/7
ip policy route-map VPN_TUNNEL
end"
Configure PBR to set the IP precedence to critical for traffic matching access-list 101 coming into interface Gi0/0.,configure pbr to set the ip precedence to critical for traffic matching access-list 101 coming into interface gi0/0.,"enable
configure terminal
access-list 101 permit ip any any
route-map QOS_POLICY permit 10
match ip address 101
set ip precedence critical
exit
interface GigabitEthernet0/0
ip policy route-map QOS_POLICY
end"
Configure the DHCP pool for the data center using subnet 192.168.200.0/26 and set the DNS servers to 192.168.200.2 and 192.168.200.3.,configure the dhcp pool for the data center using subnet 192.168.200.0/26 and set the dns servers to 192.168.200.2 and 192.168.200.3.,"enable
configure terminal
ip dhcp pool DATA_CENTER
network 192.168.200.0 255.255.255.192
default-router 192.168.200.1
dns-server 192.168.200.2 192.168.200.3
exit
end"
Configure the router to provide IP addresses to the IoT subnet 192.168.100.0/24 with a lease duration of only 1 hour.,configure the router to provide ip addresses to the iot subnet 192.168.100.0/24 with a lease duration of only 1 hour.,"enable
configure terminal
ip dhcp pool IOT_DEVICES
network 192.168.100.0 255.255.255.0
default-router 192.168.100.1
lease 0 1 0
exit
end"
Create a DHCP pool for a small testing lab on 192.168.254.0/28.,create a dhcp pool for a small testing lab on 192.168.254.0/28.,"enable
configure terminal
ip dhcp pool TEST_LAB
network 192.168.254.0 255.255.255.240
default-router 192.168.254.1
exit
end"
Create a DHCP pool named OFFICE_LAN for the 192.168.10.0/24 subnet with a default gateway of 192.168.10.1.,create a dhcp pool named office_lan for the 192.168.10.0/24 subnet with a default gateway of 192.168.10.1.,"enable
configure terminal
ip dhcp pool OFFICE_LAN
network 192.168.10.0 255.255.255.0
default-router 192.168.10.1
exit
end"
Create a policy-based route to set the next-hop to 192.168.50.1 for all UDP traffic on port 53.,create a policy-based route to set the next-hop to 192.168.50.1 for all udp traffic on port 53.,"enable
configure terminal
access-list 110 permit udp any any eq 53
route-map DNS_REDIRECT permit 10
match ip address 110
set ip next-hop 192.168.50.1
exit
interface Vlan10
ip policy route-map DNS_REDIRECT
end"
Create a route-map that drops traffic from 172.31.0.0/24 immediately.,create a route-map that drops traffic from 172.31.0.0/24 immediately.,"enable
configure terminal
access-list 40 permit 172.31.0.0 0.0.0.255
route-map DROP_POLICY deny 10
match ip address 40
exit
route-map DROP_POLICY permit 20
exit
interface GigabitEthernet0/8
ip policy route-map DROP_POLICY
end"
Create a route-map to redirect traffic from 192.168.10.0/24 to next-hop 10.1.1.5.,create a route-map to redirect traffic from 192.168.10.0/24 to next-hop 10.1.1.5.,"enable
configure terminal
access-list 10 permit 192.168.10.0 0.0.0.255
route-map PBR_REDIRECT permit 10
match ip address 10
set ip next-hop 10.1.1.5
exit
interface GigabitEthernet0/1
ip policy route-map PBR_REDIRECT
end"
Create a stub area for OSPFv3 area 10.,create a stub area for ospfv3 area 10.,"enable
configure terminal
ipv6 router ospf 1
area 10 stub
end"
Create extended ACL BLOCK_TELNET permitting SSH from 10.1.0.0 to host 10.0.0.1.,create extended acl block_telnet permitting ssh from 10.1.0.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 10.1.0.0 0.255.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 10.1.0.0 to host 172.16.0.1.,create extended acl block_telnet permitting ssh from 10.1.0.0 to host 172.16.0.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 10.1.0.0 0.0.255.255 host 172.16.0.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 10.1.0.0 to host 192.168.1.1.,create extended acl block_telnet permitting ssh from 10.1.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 10.1.0.0 0.0.0.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 172.16.0.0 to host 10.10.10.1.,create extended acl block_telnet permitting ssh from 172.16.0.0 to host 10.10.10.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 172.16.0.0 0.0.0.255 host 10.10.10.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 172.16.0.0 to host 172.16.0.1.,create extended acl block_telnet permitting ssh from 172.16.0.0 to host 172.16.0.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 172.16.0.0 0.0.0.255 host 172.16.0.1 eq 22
deny ip any any
end"
